antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Age Group=26_to_39'}),"frozenset({'Speed Category=High', 'Road User=Driver'})",0.22137754167429932,0.21130243634365267,0.05202418025279355,0.23500206868018206,1.1121597684656384,0.005246566345245604,1.0309799953257932,0.12952183753029892
frozenset({'Gender=Female'}),"frozenset({'Time of Day=Day', 'Road User=Driver'})",0.26158637113024363,0.2798131525920498,0.08087561824509984,0.3091736694677871,1.1049290092469066,0.0076803110640324,1.0425005758728363,0.12860607753107084
frozenset({'Time of Day=Night'}),"frozenset({'Gender=Male', 'Road User=Driver'})",0.4007144165598095,0.3568419124381755,0.1579043780912255,0.3940571428571429,1.104290525080669,0.014912679344475405,1.0614170626491823,0.15758964522755609
frozenset({'National Road Type=National or State Highway'}),"frozenset({'Time of Day=Night', 'Road User=Driver'})",0.29419307565488184,0.19197655248213957,0.062190877450082435,0.2113947696139477,1.1011489001169281,0.005712705021740955,1.0246234952338602,0.13014551329855262
frozenset({'Age Group=40_to_64'}),"frozenset({'National Road Type=National or State Highway', 'Road User=Driver'})",0.31086279538376993,0.1620260120901264,0.05532148745191427,0.17796110783736005,1.0983489968164482,0.004953628408693074,1.0193848440738749,0.12993432054951742
frozenset({'Age Group=26_to_39'}),"frozenset({'Gender=Male', 'Road User=Driver'})",0.22137754167429932,0.3568419124381755,0.08627953837699212,0.38973934629706247,1.0921904986836057,0.007282753035073253,1.0539071848385966,0.10840787807903696
frozenset({'Speed Category=High'}),frozenset({'Road User=Passenger'}),0.3447517860413995,0.17329181168712218,0.06512181718263418,0.18889479277364507,1.0900387671789942,0.005379155597148945,1.0192366920437839,0.12606129094028243
frozenset({'Age Group=17_to_25'}),"frozenset({'Gender=Male', 'Road User=Driver'})",0.19426634914819563,0.3568419124381755,0.07556328997984979,0.388967468175389,1.0900274172327766,0.006240914427425345,1.0525758516347452,0.10250519288600472
"frozenset({'Age Group=40_to_64', 'Time of Day=Night'})",frozenset({'Road User=Driver'}),0.1140318739695915,0.47178970507418944,0.05834401905110826,0.5116465863453815,1.0844801843756309,0.004544954861937546,1.0816148308924902,0.08792555821842042
"frozenset({'Age Group=26_to_39', 'Time of Day=Day'})",frozenset({'Road User=Driver'}),0.10652134090492764,0.47178970507418944,0.05413079318556512,0.5081685296646604,1.0771081356782688,0.0038751211759221194,1.0739660367110448,0.08012290976643499
frozenset({'Gender=Male'}),"frozenset({'Speed Category=Very High', 'Road User=Driver'})",0.7384136288697564,0.07693716797948343,0.061000183183733285,0.08260977424956586,1.0737303753056668,0.004188729781040908,1.00618341694827,0.26250410073939473
"frozenset({'Age Group=75_or_older', 'Time of Day=Day'})",frozenset({'Road User=Driver'}),0.10551383037186297,0.47178970507418944,0.0532148745191427,0.5043402777777778,1.0689938172738842,0.003434535606753421,1.0656712079764163,0.07215415595855243
frozenset({'Age Group=17_to_25'}),frozenset({'Road User=Driver'}),0.19426634914819563,0.47178970507418944,0.09791170544055688,0.504007543611504,1.068288557784974,0.006258841870090154,1.064956307545289,0.07933555458835416
"frozenset({'Gender=Male', 'Age Group=17_to_25'})",frozenset({'Road User=Driver'}),0.15011906942663492,0.47178970507418944,0.07556328997984979,0.5033557046979866,1.0669069275660295,0.0047386584890459355,1.063558566810078,0.07378812372022843
"frozenset({'Time of Day=Night', 'Age Group=17_to_25'})",frozenset({'Road User=Driver'}),0.10807840263784575,0.47178970507418944,0.05431397691884961,0.502542372881356,1.0651829988582109,0.0033236992134508606,1.061819672934338,0.06860936987521633
"frozenset({'Time of Day=Night', 'Gender=Male'})",frozenset({'Road User=Driver'}),0.315808756182451,0.47178970507418944,0.1579043780912255,0.5,1.0597942147155892,0.008909058152060334,1.056420589851621,0.08246318607764375
frozenset({'Age Group=26_to_39'}),frozenset({'Road User=Driver'}),0.22137754167429932,0.47178970507418944,0.11064297490382854,0.49979313198179565,1.0593557396577837,0.006199329807261789,1.0559836913446519,0.0719604666688999
frozenset({'Age Group=75_or_older'}),frozenset({'Road User=Driver'}),0.12722110276607437,0.47178970507418944,0.06347316358307382,0.49892008639308855,1.0575052423295943,0.003451557029854453,1.0541438213390097,0.06230468031286587
"frozenset({'Gender=Male', 'National Road Type=Arterial Road'})",frozenset({'Road User=Driver'}),0.17732185381938084,0.47178970507418944,0.0883861513097637,0.4984504132231405,1.056509728512958,0.0047275261931094825,1.0531566745379701,0.06501592707579815
frozenset({'Gender=Male'}),"frozenset({'Age Group=26_to_39', 'Road User=Driver'})",0.7384136288697564,0.11064297490382854,0.08627953837699212,0.11684445547010668,1.0560494741909143,0.004579257769310702,1.0070219573490637,0.2028953832063608
"frozenset({'Age Group=26_to_39', 'Gender=Male'})",frozenset({'Road User=Driver'}),0.1735665872870489,0.47178970507418944,0.08627953837699212,0.4970976253298153,1.0536423749467916,0.004392609350101759,1.0503237239080911,0.06160371478126309
frozenset({'Age Group=40_to_64'}),"frozenset({'Time of Day=Day', 'Road User=Driver'})",0.31086279538376993,0.2798131525920498,0.09159186664224217,0.2946375957572186,1.0529797939369272,0.004608367842332192,1.0210167753143622,0.07301036682615628
frozenset({'Time of Day=Night'}),frozenset({'Road User=Passenger'}),0.4007144165598095,0.17329181168712218,0.07299871771386701,0.18217142857142857,1.0512408335850196,0.003558190499069469,1.0108575527861487,0.08133549872084511
frozenset({'National Road Type=Arterial Road'}),"frozenset({'Time of Day=Day', 'Road User=Driver'})",0.2380472614031874,0.2798131525920498,0.06979300238138854,0.29318968834166986,1.0478052429834213,0.003184247702258891,1.0189252130719992,0.059877950705134214
frozenset({'Gender=Male'}),"frozenset({'Road User=Driver', 'Age Group=17_to_25'})",0.7384136288697564,0.09791170544055688,0.07556328997984979,0.10233192756139915,1.0451449813988363,0.003263952256661512,1.0049241164485603,0.16512689924454602
"frozenset({'Age Group=26_to_39', 'Time of Day=Night'})",frozenset({'Road User=Driver'}),0.11485620076937168,0.47178970507418944,0.056512181718263416,0.49202551834130775,1.042891595661114,0.0023242086313396623,1.039836279178911,0.046464279197569874
frozenset({'National Road Type=Arterial Road'}),"frozenset({'Gender=Male', 'Road User=Driver'})",0.2380472614031874,0.3568419124381755,0.0883861513097637,0.3712966525586764,1.040507405707297,0.0034409112999800318,1.0229913522479694,0.0510929783683896
frozenset({'Time of Day=Day'}),"frozenset({'Speed Category=High', 'Road User=Driver'})",0.5992855834401906,0.21130243634365267,0.13115955303169077,0.21885985022161084,1.035765862470545,0.004529049185151152,1.0096748501278576,0.08617318435754154
frozenset({'Gender=Male'}),"frozenset({'Road User=Driver', 'National Road Type=Arterial Road'})",0.7384136288697564,0.11568052756915186,0.0883861513097637,0.11969734557181841,1.0347233720927265,0.0029660731578583788,1.0045629965813017,0.1282869624533754
frozenset({'Gender=Male'}),"frozenset({'Age Group=40_to_64', 'Road User=Driver'})",0.7384136288697564,0.14993588569335042,0.11439824143616047,0.1549243363929546,1.0332705587894186,0.0036835399835325883,1.0059029633847365,0.1230923113841212
frozenset({'Age Group=40_to_64'}),"frozenset({'Gender=Male', 'Road User=Driver'})",0.31086279538376993,0.3568419124381755,0.11439824143616047,0.36800235710076606,1.0312755992880298,0.0034693670255387804,1.0176589972889662,0.044007348356090534
frozenset({'National Road Type=Arterial Road'}),frozenset({'Road User=Driver'}),0.2380472614031874,0.47178970507418944,0.11568052756915186,0.48595613697575984,1.0300270051448934,0.003372280318023585,1.027558799784567,0.038259154915099826
frozenset({'National Road Type=Arterial Road'}),"frozenset({'Speed Category=High', 'Road User=Driver'})",0.2380472614031874,0.21130243634365267,0.05174940465286683,0.21739130434782608,1.028815891144155,0.0014494383534389768,1.007780220227555,0.036759225868493985
frozenset({'Time of Day=Day'}),"frozenset({'National Road Type=National or State Highway', 'Road User=Driver'})",0.5992855834401906,0.1620260120901264,0.09983513464004397,0.16659024912119821,1.0281697794828955,0.0027352814521251906,1.0054765822289204,0.0683728440366969
frozenset({'Gender=Male'}),"frozenset({'Speed Category=High', 'Road User=Driver'})",0.7384136288697564,0.21130243634365267,0.16019417475728157,0.21694368643016623,1.0266975155806481,0.004165575947744304,1.0072041435446655,0.09940614324632137
"frozenset({'Time of Day=Day', 'National Road Type=Arterial Road'})",frozenset({'Road User=Driver'}),0.14416559809488919,0.47178970507418944,0.06979300238138854,0.4841168996188056,1.0261285789241157,0.0017771573743566443,1.0238953253857461,0.02975255501024697
frozenset({'Gender=Male'}),"frozenset({'National Road Type=National or State Highway', 'Road User=Driver'})",0.7384136288697564,0.1620260120901264,0.12254991756732002,0.16596378069957826,1.0243033112933835,0.002907702008554766,1.0047213400549377,0.09070302261412773
frozenset({'Gender=Male'}),frozenset({'Road User=Driver'}),0.7384136288697564,0.47178970507418944,0.3568419124381755,0.4832547754899528,1.0243012305958659,0.008465964250951141,1.0221870853797128,0.09069544142092116
frozenset({'Age Group=40_to_64'}),frozenset({'Road User=Driver'}),0.31086279538376993,0.47178970507418944,0.14993588569335042,0.48232174425456686,1.022323588385044,0.0032740191407035213,1.0203447586671603,0.031686183118520755
frozenset({'Age Group=40_to_64'}),"frozenset({'Speed Category=High', 'Road User=Driver'})",0.31086279538376993,0.21130243634365267,0.06713683824876351,0.21596935769004125,1.0220864530818685,0.0014507722155745473,1.005952473149058,0.03135686585101413
"frozenset({'Age Group=40_to_64', 'Gender=Male'})",frozenset({'Road User=Driver'}),0.2374061183366917,0.47178970507418944,0.11439824143616047,0.4818672839506173,1.0213603195831564,0.002392478883284574,1.019449802269323,0.027424293506388035
frozenset({'Time of Day=Day'}),"frozenset({'Age Group=40_to_64', 'Road User=Driver'})",0.5992855834401906,0.14993588569335042,0.09159186664224217,0.1528350909368791,1.0193362998465767,0.0017374519058809407,1.003422244255531,0.04733919999999995
frozenset({'National Road Type=Sub-arterial Road'}),frozenset({'Road User=Driver'}),0.16971972888807474,0.47178970507418944,0.08151676131159553,0.4803022126281706,1.018043012516864,0.0014447404742193581,1.0163797263733407,0.021346083529068992
frozenset({'Gender=Male'}),"frozenset({'National Road Type=Sub-arterial Road', 'Road User=Driver'})",0.7384136288697564,0.08151676131159553,0.06127495878366001,0.08298189034978913,1.0179733470101098,0.001081871249854989,1.0015977100373212,0.06749590718200547
frozenset({'Time of Day=Night'}),frozenset({'Road User=Driver'}),0.4007144165598095,0.47178970507418944,0.19197655248213957,0.4790857142857142,1.0154645367057713,0.0029236160744111617,1.0140061607285742,0.02541196932098032
frozenset({'National Road Type=Sub-arterial Road'}),"frozenset({'Gender=Male', 'Road User=Driver'})",0.16971972888807474,0.3568419124381755,0.06127495878366001,0.36103615758229896,1.0117537906785268,0.0007118461487507638,1.0065641353480244,0.013991954799129727
frozenset({'Gender=Male'}),"frozenset({'Speed Category=Medium', 'Road User=Driver'})",0.7384136288697564,0.09553031690785858,0.07135006411430665,0.09662614735797569,1.0114710228709285,0.0008091761392969576,1.0012130420278518,0.04335444062092138
"frozenset({'National Road Type=Sub-arterial Road', 'Gender=Male'})",frozenset({'Road User=Driver'}),0.12841179703242353,0.47178970507418944,0.06127495878366001,0.4771754636233951,1.0114155915046064,0.0006915949336862362,1.010301273514306,0.012949632151278645
frozenset({'Gender=Male'}),"frozenset({'National Road Type=Local Road', 'Road User=Driver'})",0.7384136288697564,0.0801428833119619,0.059809488917384135,0.08099727114859837,1.0106608073147394,0.0006308916229129102,1.0009296902063656,0.0403245524856189
frozenset({'Time of Day=Day'}),"frozenset({'Road User=Driver', 'National Road Type=Arterial Road'})",0.5992855834401906,0.11568052756915186,0.06979300238138854,0.11646033929390188,1.0067410802936032,0.0004673299244403184,1.0008825995701505,0.016710011248593965
